Date,Mountain,x,y
41825,0,-2,-2
41826,0,-2,-2
41827,0,-2,-2
41828,0,-2,-2
41829,0,-2,-2
41830,0,-2,-2
41831,0,-2,-2
41832,0,-2,-2
41833,0,-2,-2
41834,0,-2,-2
41835,0,-2,-2
41836,0,-2,-2
41837,0,-2,-2
41838,0,-2,-2
41839,Rusk Mountain,7,15
41840,0,-2,-2
41841,0,-2,-2
41842,0,-2,-2
41843,0,-2,-2
41844,0,-2,-2
41845,0,-2,-2
41846,Halcott Mountain,7,4
41847,0,-2,-2
41848,0,-2,-2
41849,0,-2,-2
41850,0,-2,-2
41851,0,-2,-2
41852,0,-2,-2
41853,0,-2,-2
41854,0,-2,-2
41855,0,-2,-2
41856,0,-2,-2
41857,0,-2,-2
41858,0,-2,-2
41859,Black Dome,8,33
41860,Blackhead,8,31
41861,Thomas Cole,8,32
41862,0,-2,-2
41863,0,-2,-2
41864,0,-2,-2
41865,0,-2,-2
41866,0,-2,-2
41867,0,-2,-2
41868,Windham High Peak,8,2
41869,0,-2,-2
41870,0,-2,-2
41871,0,-2,-2
41872,0,-2,-2
41873,0,-2,-2
41874,0,-2,-2
41875,0,-2,-2
41876,0,-2,-2
41877,0,-2,-2
41878,0,-2,-2
41879,0,-2,-2
41880,0,-2,-2
41881,0,-2,-2
41882,0,-2,-2
41883,0,-2,-2
41884,0,-2,-2
41885,0,-2,-2
41886,0,-2,-2
41887,Hunter Mountain,9,34
41888,Southwest Hunter,9,21
41889,0,-2,-2
41890,0,-2,-2
41891,0,-2,-2
41892,0,-2,-2
41893,0,-2,-2
41894,0,-2,-2
41895,0,-2,-2
41896,0,-2,-2
41897,0,-2,-2
41898,0,-2,-2
41899,0,-2,-2
41900,0,-2,-2
41901,0,-2,-2
41902,0,-2,-2
41903,0,-2,-2
41904,0,-2,-2
41905,0,-2,-2
41906,0,-2,-2
41907,0,-2,-2
41908,0,-2,-2
41909,0,-2,-2
41910,0,-2,-2
41911,0,-2,-2
41912,0,-2,-2
41913,0,-2,-2
41914,0,-2,-2
41915,0,-2,-2
41916,0,-2,-2
41917,0,-2,-2
41918,0,-2,-2
41919,0,-2,-2
41920,0,-2,-2
41921,0,-2,-2
41922,0,-2,-2
41923,0,-2,-2
41924,Twin Mountain,10,13
41925,Indian Head,10,6
41926,0,-2,-2
41927,0,-2,-2
41928,0,-2,-2
41929,0,-2,-2
41930,0,-2,-2
41931,0,-2,-2
41932,0,-2,-2
41933,0,-2,-2
41934,0,-2,-2
41935,0,-2,-2
